Data;Id;Nome;Nivel;Id Alimento;Descricao;NP;GA;Kcal;Hidra;PA;Glic;In Natura;Processado;Ultraprocessados;Total;Pontuacao;Tempo
18-10-2017 16:49:39;0;Salvador;1;26;Biscoito, polvilho doce;2;----;100.00;-12.67;-12.67;17.33;0;0;1;1;100;297.81
18-10-2017 16:49:42;0;Salvador;1;46;Tomate, molho industrializado;2;----;100.00;-30.80;-30.80;29.20;0;0;2;2;100;294.75
18-10-2017 16:49:45;0;Salvador;1;46;Tomate, molho industrializado;2;----;100.00;-46.51;-46.51;43.49;0;0;3;3;100;291.65
18-10-2017 16:49:47;0;Salvador;1;17;Agriao, cru;0;----;97.77;-38.74;-58.74;31.26;1;0;3;4;110;290.53
18-10-2017 16:49:48;0;Salvador;1;----;Garrafa de agua;----;----;85.86;-0.65;-80.65;9.35;1;0;3;4;110;289.00
18-10-2017 16:49:58;0;Salvador;1;25;Batata, inglesa, cozida;1;----;100.00;-13.26;-93.26;16.74;1;1;3;5;113;284.88
18-10-2017 16:49:59;0;Salvador;1;23;Batata, frita, tipo chips, industrializada;2;----;100.00;-26.46;-100.00;33.54;1;1;4;6;113;283.54
18-10-2017 16:50:01;0;Salvador;1;22;Batata, baroa, crua;0;----;99.32;-17.14;-100.00;22.86;2;1;4;7;123;282.41
18-10-2017 16:50:01;0;Salvador;1;25;Batata, inglesa, cozida;1;----;100.00;-27.87;-100.00;32.13;2;2;4;8;126;282.20
18-10-2017 16:50:02;0;Salvador;1;46;Tomate, molho industrializado;2;----;100.00;-41.93;-100.00;48.07;2;2;5;9;126;280.69
18-10-2017 16:50:03;0;Salvador;1;26;Biscoito, polvilho doce;2;----;100.00;-52.15;-100.00;67.85;2;2;6;10;126;280.30
18-10-2017 16:50:04;0;Salvador;1;----;Garrafa de agua;----;----;89.30;-12.85;-100.00;47.15;2;2;6;10;126;279.14
18-10-2017 16:50:06;0;Salvador;1;23;Batata, frita, tipo chips, industrializada;2;----;100.00;-30.22;-100.00;59.78;2;2;7;11;126;276.86
18-10-2017 16:50:07;0;Salvador;1;16;Acelga, crua;0;----;99.41;-20.80;-100.00;49.20;3;2;7;12;136;275.89
18-10-2017 16:50:09;0;Salvador;1;26;Biscoito, polvilho doce;2;----;100.00;-32.88;-100.00;67.12;3;2;8;13;136;274.43
18-10-2017 16:50:10;0;Salvador;1;25;Batata, inglesa, cozida;1;----;100.00;-46.24;-100.00;73.76;3;3;8;14;139;273.08
18-10-2017 16:50:10;0;Salvador;1;17;Agriao, cru;0;----;99.77;-36.47;-100.00;63.53;4;3;8;15;149;272.69
18-10-2017 16:50:12;0;Salvador;1;22;Batata, baroa, crua;0;----;96.47;-29.76;-100.00;50.24;5;3;8;16;159;270.70
18-10-2017 16:50:14;0;Salvador;1;----;Garrafa de agua;----;----;82.42;6.18;-100.00;26.18;5;3;8;16;159;269.52
18-10-2017 16:50:18;0;Salvador;1;----;Garrafa de agua;----;----;59.26;33.02;-100.00;-6.98;5;3;8;16;159;264.84
18-10-2017 16:50:18;0;Salvador;1;23;Batata, frita, tipo chips, industrializada;2;----;100.00;22.95;-100.00;12.95;5;3;9;17;159;264.73
