item,"nome","np","ga"
1,"Arroz, tipo 2, cozido","0","1"
2,"Aveia, flocos, crua","0","1"
3,"Biscoito, doce, maisena","2","7"
4,"Biscoito, doce, wafer, recheado de chocolate","2","7"
5,"Biscoito, salgado, cream cracker","2","7"
6,"Bolo, pronto, milho","2","7"
7,"Cereal matinal, milho, açúcar","2","7"
8,"Farinha, de milho, amarela","0","1"
9,"Lasanha, massa fresca, cozida","2","7"
10,"Macarrão, instantâneo","2","7"
11,"Milho, verde, enlatado, drenado","1","4"
12,"Pão, glúten, forma","2","1"
13,"Pão, trigo, francês","1","1"
14,"Pastel, de carne, frito","2","7"
15,"Pipoca, com óleo de soja, sem sal","2","1"
16,"Abóbora, moranga, refogada","0","4"
17,"Abobrinha, italiana, cozida","0","4"
18,"Agrião, cru","0","4"
19,"Alface, crespa, crua","0","4"
20,"Batata, baroa, cozida","0","4"
21,"Batata, doce, cozida","0","4"
22,"Batata, frita, tipo chips, industrializada","2","7"
23,"Batata, inglesa, frita","1","7"
24,"Berinjela, cozida","0","4"
25,"Beterraba, cozida","0","4"
26,"Biscoito, polvilho doce","2","7"
27,"Brócolis, cozido","0","4"
28,"Chuchu, cozido","0","4"
29,"Couve, manteiga, crua","0","4"
30,"Couve, manteiga, refogada ","0","4"
31,"Espinafre, Nova Zelândia, refogado","0","4"
32,"Farinha, de mandioca, torrada","0","4"
33,"Mandioca, cozida","0","4"
34,"Mandioca, frita","1","4"
35,"Nhoque, batata, cozido","1","4"
36,"Nabo, cru","0","4"
37,"Palmito, juçara, em conserva","1","4"
38,"Pão, de queijo, assado","2","4"
39,"Repolho, roxo, refogado","0","4"
40,"Rúcula, crua","0","4"
41,"Tomate, com semente, cru","0","4"
42,"Abacate, cru","0","5"
43,"Abacaxi, cru","0","5"
44,"Banana, da terra, crua","0","5"
45,"Banana, doce em barra","2","7"
46,"Caqui, chocolate, cru","2","5"
47,"Figo, enlatado, em calda","1","7"
48,"Goiaba, branca, com casca, crua","0","5"
49,"Goiaba, doce, cascão","2","7"
50,"Kiwi, cru","0","5"
51,"Laranja, da terra, suco","1","5"
52,"Laranja, pêra, suco","1","5"
53,"Maçã, Argentina, com casca, crua","0","5"
54," Mamão, doce em calda, drenado","1","7"
55,"Mamão, Formosa, cru","0","5"
56,"Manga, Haden, crua","0","5"
57,"Melão, cru","0","5"
58,"Mexerica, Rio, crua","0","5"
59,"Morango, cru","0","5"
60,"Pêra, Williams, crua","0","5"
61,"Pêssego, Aurora, cru","0","5"
62,"Pêssego, enlatado, em calda","1","7"
63,"Tangerina, Poncã, crua","0","5"
64,"Uva, Itália, crua","0","5"
65,"Azeite, de oliva, extra virgem","1","3"
66,"Margarina, com óleo hidrogenado, com sal (65% de lipídeos)","2","3"
67,"Óleo, de soja","1","3"
68,"Atum, conserva em óleo","1","2"
69,"Cação, posta, com farinha de trigo, frita","1","2"
70,"Merluza, filé, assado","0","2"
71,"Pescada, branca, frita","1","2"
72,"Pescada, filé, com farinha de trigo, frito","2","2"
73,"Sardinha, conserva em óleo","1","3"
74,"Sardinha, frita","1","2"
75,"Apresuntado","2","2"
76,"Carne, bovina, acém, moído, cozido","0","2"
77,"Carne, bovina, acém, sem gordura, cozido","0","2"
78,"Carne, bovina, almôndegas, fritas","2","2"
79,"Carne, bovina, costela, assada","0","2"
80,"Carne, bovina, músculo, sem gordura, cozido","0","2"
81,"Carne, bovina, patinho, sem gordura, grelhado","0","2"
82,"Coxinha de frango, frita","1","7"
83,"Empada de frango, pré-cozida, assada","2","7"
84,"Frango, coração, grelhado","0","2"
85,"Frango, coxa, com pele, assada","0","2"
86,"Frango, filé, à milanesa","0","2"
87,"Frango, peito, sem pele, cozido","0","2"
88,"Hambúrguer, bovino, frito","2","3"
89,"Lingüiça, porco, frita","2","3"
90,"Mortadela","2","3"
91,"Porco, bisteca, frita","1","2"
92,"Porco, lombo, assado","0","2"
93,"Presunto, sem capa de gordura","2","2"
94,"Quibe, frito","2","3"
95,"Salame","2","3"
96,"Bebida láctea, pêssego","2","1"
97,"Iogurte, sabor morango","2","1"
98,"Leite, de vaca, achocolatado","2","1"
99,"Macarrão cozido","2","1"
100,"Leite de vaca integral","0","2"
101,"Queijo, mozarela","2","2"
102,"Queijo, petit suisse, morango","2","7"
103,"Queijo, requeijão, cremoso","2","2"
104,"Café, infusão 10%","1","1"
105,"Chá, mate, infusão 5%","0","8"
106,"Refrigerante, tipo cola","2","7"
107,"Refrigerante, tipo guaraná","2","7"
108,"Omelete, de queijo","2","2"
109,"Ovo, de galinha, inteiro, cozido/10minutos","0","2"
110,"Ovo, de galinha, inteiro, frito","1","3"
111,"Açúcar, refinado","2","6"
112,"Chocolate, ao leite","2","7"
113,"Cocada branca","2","7"
114,"Doce, de abóbora, cremoso","2","7"
115,"Doce, de leite, cremoso","2","7"
116,"Maria mole","2","7"
117,"Mel, de abelha","0","1"
118,"Gelatina, sabores variados, pó","2","6"
119,"Sal, dietético","2","6"
120,"Maionese, tradicional com ovos","2","3"
121,"Bolinho de arroz","2","1"
122,"Dobradinha","2","2"
123,"Feijoada","2","1"
124,"Macarrão, molho bolognesa","2","1"
125,"Quibebe","2","2"
126,"Salada, de legumes, com maionese","2","1"
127,"Salada, de legumes, cozida no vapor","0","1"
128,"Amendoim, torrado, salgado","0","3"
129,"Feijão, carioca, cozido","0","1"
130,"Paçoca, amendoim","2","7"
131,"Pé-de-moleque, amendoim","2","7"
132,"Castanha-de-caju, torrada, salgada","0","3"
133,"Pinhão, cozido","0","1"
